avg_spend_week6,balance_week6_start,avg_spend_week1,avg_spend_week2,avg_spend_week3,avg_spend_week4,avg_spend_week5,balance_week1_start,balance_week2_start,balance_week3_start,balance_week4_start,balance_week5_start,avg_spend_5weeks,balance_5weeks,label
1632.1568668939233,7209.347770731046,1533.6317919359576,1435.6932790091644,1303.1345771614865,1917.4537814648381,1888.2939189225974,7554.0330948762885,7170.550396172917,7529.144832638179,9090.083448073596,5531.2797671125745,1615.641469698809,7375.018307774711,1
956.8304299044667,10951.56163096899,1051.0317975953612,1030.1226108114,1257.1329037175906,1255.805956109931,1169.685845281793,10744.825316783,8680.873512596158,10367.504381785087,11351.87863099055,12249.717760828693,1152.7558227032152,10678.959920596699,2
9850.212684820535,4164.837421221566,9856.83397920094,12486.662358640919,10395.27398099766,8982.652357648698,8498.864453774264,3936.7035017411536,3117.649920910007,4501.567713177786,2942.367573167581,3952.5831601407745,10044.057426052497,3690.174373827461,0
5120.407783564192,13884.926680210212,5202.864259787552,6053.3289580547535,5354.9083597738845,5671.816685743675,4208.263184502302,13407.153734519588,15546.469548758696,17098.688341364337,13942.679636599652,16218.116755774414,5298.236289572433,15242.621603403339,1
5131.663767053284,11683.849114100552,4929.691445633174,6180.116324281477,3758.561389783484,4578.310573276114,6144.076312239232,11627.481985643448,8800.104158597489,14127.752768865646,11685.279396378432,9611.287736406464,5118.151209042697,11170.381209178295,0
3541.7303649243863,6519.311875303536,3566.3824730255797,4228.278865339712,4020.7749052466766,4270.7188835325705,4632.059824348442,7064.153767113582,5272.187375825156,5414.191066136727,6128.435957917983,7757.236207324292,4143.6429902985965,6327.240874863548,0
2547.5432389963457,10287.909041222169,2585.7307298666815,3252.7803459851893,2857.1053059623587,1918.4492619008436,2868.800693324148,10689.447663638606,11400.042463124104,9868.037596598067,12063.538445444638,12730.496798337608,2696.5732674078445,11350.312593428604,2
1879.643893469873,14966.906934820945,2119.415060549418,2176.3167742993096,2172.740622412453,1868.7776754921429,2578.2634512275235,14525.179812628105,15199.43823063838,15820.006953824652,17955.24493178302,16693.55001753789,2183.1027167961697,16038.683989282412,2
1730.0206897862329,7300.833782385856,1814.6739500506405,2048.9061410254144,1277.5958030608706,1605.8637576989202,1408.101837407424,7327.453210650953,8072.192935443499,8093.589272047877,9467.789392681398,5525.119639365511,1631.028297848654,7697.228890037848,2
4472.565980173252,19514.920682909866,4310.856753612252,3104.3577046313044,4568.75236513844,3378.486079548951,5018.8262829815285,19592.097029620938,16938.76751411765,23029.881502065058,18924.845422361712,22004.184490451466,4076.2558371824953,20097.955191723362,2
385.189582197499,14225.168307064336,179.7136716624674,222.51922819197324,211.00768080231418,180.87675771124876,232.44821607695786,14626.777535134917,18534.19799535852,18494.895330174186,12277.914574706907,14691.592439025148,205.3131108889923,15725.075574879937,2
3637.7728385252785,10727.822016601942,3880.028935199925,3909.792543699291,4919.044099308074,4813.368525520711,4557.612552795524,10575.621158081472,8488.556216317393,8711.509364332245,8664.649843928499,9526.986275462279,4415.969331304705,9193.46457162438,1
3774.232494705345,8908.071864575415,3966.116141394745,4849.852498200847,3101.6015247922674,3148.498279179788,3034.399838253078,8921.863181353008,9349.89980982872,8772.322805867387,10213.681247779343,8445.630836664219,3620.0936563641453,9140.679576298535,1
4211.959498587148,18275.66263790423,4122.757630911905,4091.520792094823,3681.8195333090175,3635.8332355984194,5104.660500034679,18512.705556201498,16141.833236746697,15852.701791933625,19243.559163611266,13880.282039000469,4127.3183383897685,16726.21635749871,1
1654.2102297597232,4737.0148613198835,1690.5514967097838,1203.5893258117667,1889.834760546084,1743.5993252930614,1825.9549267093005,4973.290532862233,3497.0838861740044,5292.628183734222,4181.91781219517,5584.5144568904025,1670.7059670139993,4705.886974371207,1
10336.339945051963,1615.1310996427362,9937.93216655167,11584.120063480312,10468.478281272242,11127.96661069468,9077.802201607548,1808.863015939898,2324.40426259188,1802.2377770331484,1927.3546764417538,1945.2779305794331,10439.25986472129,1961.6275325172228,0
6804.858402325048,19500.332409378192,6713.882201565059,6725.113852080958,5562.4670295148335,5475.806035168313,5803.894843041718,19388.439530498716,18114.746407110408,18316.74430187336,20214.634946581904,18561.027712936146,6056.232792274177,18919.118579800106,1
6220.004228849258,7902.491166394256,6027.24550867059,6607.364625435042,7109.860688962487,6871.8157223128965,6108.29883460414,7417.431222357385,9457.538507728923,9587.791185508973,9398.319558892976,6310.396530214048,6544.917075997031,8434.29540094046,0
1096.4545241471706,3197.9538782426325,925.1479617332682,770.8666082620322,1193.618662210817,1052.527532111193,697.6005844116744,3237.6098820270886,3757.256567099506,2331.505134906203,2282.5171748682183,2489.7134348795835,927.9522697457971,2819.72043875612,1
7431.093519586938,14892.479844114903,7469.687369202661,9509.578773889818,7000.234667838392,6805.766986243201,6422.030576886789,14565.063340143803,12330.14961749442,14156.845670196306,18811.830998883717,18879.284567072766,7441.459674812172,15748.634838758202,0
792.4073265936595,2203.5471621845845,878.7502997726139,637.0227558582208,1120.2543158987335,816.4478153978574,890.1105440221459,2185.9389838637053,2054.4416408815364,2632.7913853957793,2126.8748444219004,2404.0852324849816,868.5171461899142,2280.8264174095807,1
