avg_spend_week6,balance_week6_start,avg_spend_week1,balance_week1_start,avg_spend_week2,balance_week2_start,avg_spend_week3,balance_week3_start,avg_spend_week4,balance_week4_start,avg_spend_week5,balance_week5_start,avg_spend_5weeks,balance_5weeks,label
4925.149325943243,12459.75295560007,1365.5504520675743,2587.2083371733006,4521.69847455102,12700.33277142002,3850.835214670055,10011.158479628159,8461.61100326632,18651.093962087733,4728.758303109037,15070.5070602949,4585.690689532801,11804.060122120824,1
1464.8019496909053,6701.225152912449,476.1278789448455,2012.3199138949722,1341.6235724179755,7062.629537282585,1126.4143626746306,7495.145407365814,585.6350036772277,2992.6274062254824,4008.6755493788155,15092.234869221984,1507.6952734186991,6930.991426798168,2
9599.87537328828,12767.031154180291,9713.311203284644,12709.636670962122,2722.6245806857373,3195.693132993384,15795.953414532478,17009.916778390027,18157.668966735066,19866.33503456712,5011.854038529352,7960.61550946464,10280.282440753455,12148.439425275457,0
2141.509533447782,11552.223627347377,4247.847814350507,16472.394595394286,786.954348757067,5069.709020427829,957.5252734730217,4463.763723635574,3160.12797436468,12738.334800714998,1784.8897016053545,17516.010248779174,2187.4690225101263,11252.042477790372,2
3878.9506116822968,7900.6228624365185,5534.286616062075,13153.495361427293,635.8326921400752,1173.5762656020786,3282.2389383946743,6622.578071694322,3638.469533939555,8935.23190447785,7099.041438023258,13403.483284968519,4037.9738437119277,8657.672977634013,1
1214.6489142343949,10740.530239004422,1455.5472511662701,14719.272459363978,509.82056212250166,5455.7015977179,1916.7162147120787,9789.836350028349,919.8039979544623,16151.583301412751,900.2930937779099,4712.85795298317,1140.4362239466445,10165.85033230123,2
4261.86633635338,5863.941681252032,4424.3483139380105,4810.728532173329,4171.317172127432,5091.826374237561,4909.511956847479,6545.476363691595,3972.7709066899442,4282.389047340659,5142.096502267045,8207.946365879545,4524.008970373982,5787.673336664538,0
2642.5918927856865,12604.549713589353,3527.3660804741917,17311.355149210063,808.6328904954228,6142.587126153419,3120.476368233386,13907.764413187098,3656.624892625534,17615.086789169214,1753.4852042313505,11186.60415808815,2573.317087211977,13232.67952716159,2
4465.413704570457,9185.594723242784,7890.351797291684,15765.56377538114,552.5092040102883,1625.1201455016162,3582.600962056673,8723.426196175693,1592.806385219914,4835.38549874542,9079.601770302721,17555.33322473447,4539.574023776257,9700.965768107668,1
6678.903441981784,7528.9675925227575,15140.62834704589,17299.29788683229,5233.1304515853,6793.1593633162065,3203.607148943458,4660.851533247306,2301.003746876847,3452.353691686748,4815.547096338539,6659.328569414014,6138.783358158006,7772.998208899313,0
