avg_spend_week1,balance_week1_start,avg_spend_week2,balance_week2_start,avg_spend_week3,balance_week3_start,avg_spend_week4,balance_week4_start,avg_spend_week5,balance_week5_start,label
2235.3039488762884,5721.415944961509,692.6566860149003,1632.4933423632128,427.3720889911152,983.313911225081,1989.4881462928113,4290.192125342555,3739.3710990492973,9716.039503197226,1
2387.1133207239736,6276.690051581154,671.4106883051447,1847.301250520317,2907.5737248590085,6699.136001248922,2747.0269906491026,6505.672691321808,3236.805548784154,9132.99366923472,1
1285.3942583141782,1734.1577839975703,3980.704391029262,5180.964960462046,112.21544928984858,159.89294064227946,2029.1010330073473,2451.2324302554666,6861.784231970611,8244.501509127262,0
235.66741857144302,711.5383880045872,3968.863943975075,8813.193872531609,1493.8080043817408,3158.2779577126935,1348.2805760935628,4344.023574885352,3314.061408559237,8841.383075005351,1
1378.3532365341316,2925.726164437095,3498.940631207794,7189.550746814028,1252.0797621855938,2207.3268386373547,1313.2886931559233,2984.187700121961,1183.105370292644,2573.567059682225,1
7586.622939973921,8767.05231019907,3081.198759738204,4241.764058899187,1168.6214692261924,1455.0231924626062,3028.3584291800403,4303.563977570795,4030.1221051898465,5750.765529233504,0
188.46157158743236,1491.6992436117637,326.29450785112914,2026.1805303452104,203.2559590955174,1261.0770585762773,295.6912908926191,1489.7388055638223,2573.040271771311,9816.157212215903,2
2114.9039706948447,3255.787621180576,6390.676375178167,7570.184029390721,4853.417968727455,5877.092796913347,2068.204119520194,3147.6205685744876,4706.112200406681,5248.32842603255,0
1614.3881843681984,4933.797652352266,426.9570900333685,797.6922404497917,3807.9670029585873,7038.543683736556,3790.9778971450646,9567.92283024513,898.0485419665272,1750.732003118778,1
108.11842949625925,258.47518661278497,2838.9047795148936,5851.566168306751,1941.6477679265925,4580.138050814852,583.1762168956215,1348.5862751939915,4647.152328891523,8896.270262040049,1
389.12182435871273,1591.5559791344856,20.471449813600422,9281.402847694388,292.59762726834094,5753.239358504963,331.0244670222564,6074.764055554552,1178.7817676581212,4807.641016144953,2
2842.270961733563,3297.293247146464,5543.005451338929,7983.779155441809,5924.738161727867,9234.44766482351,4169.097320226053,5441.228251853885,3302.0982299691805,4963.627363884491,0
3716.500812005115,5550.24393554116,3790.1257961056135,4527.818055456107,1932.4094772682552,2940.440668060719,7861.103019706787,8880.082283345802,746.7091915770732,1014.1862280066867,0
3719.424074667963,5622.206737615662,1695.0309871048491,2348.528841794553,6130.0079241757185,7805.678160686182,1934.8283873128537,2368.7202228376095,5390.193604045477,8081.624395292775,0
695.9004649032117,4081.369812339733,30.480933875802332,585.1931639218654,570.0861670070908,5428.741820610999,808.6445671438368,4459.888027990712,942.9423401410236,3225.692296703491,2
381.3816899134674,1359.7905235113064,1145.5372812258802,5986.565307511697,767.8544470082352,4641.30429140271,598.2208035790455,4464.162363298772,513.355749200505,2257.5609265201306,2
5172.33494136351,6699.583046624309,8057.255227930824,9376.172658629122,6937.558613316372,9085.466675560903,8432.37354280414,9620.955757963708,2357.2121494411085,3697.9332160277563,0
5016.430775930968,6004.399232312153,4634.195415549721,6503.070972695333,1381.3160972468572,1552.7355988780164,1312.0410227118666,1928.9890937361881,4019.301393111184,5175.151662419134,0
6906.344504565513,9884.452492761637,4283.671714977879,4820.318007534832,6716.1049272786595,9837.484624964065,3654.555239982818,4150.7513112739525,3701.176533844229,5001.792077423848,0
98.93895786834588,716.5737009338382,419.5462107058032,5959.288723622053,866.6046133403876,4482.7103655052615,1489.5995366323823,5088.888372834841,154.37091341495056,1300.8996831557095,2
3130.9839512724375,8988.325937929301,2567.6238970097747,4387.717870362521,1431.083041925633,3858.4894891930903,3942.081041466356,7626.084470941813,776.9671870732359,2036.413209573983,1
4490.234998104018,5890.5522365828065,2841.4218591474923,3455.040632225951,1497.4427609405166,1944.5872109818388,6765.158472040805,9497.831611797108,2519.8204936309985,2885.860650452082,0
